,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,12.522,9.873,1.72,4.809,6.396,2.542,8.938,11.659,12.279,10.374,10.34,8.058,12.782,2.547,11.5,9.678,10.409,11.83,7.358,13.444,9.91,0.52,10.774,9.427,0.699,7.11,7.056,2.547,12.752,6.47,12.466,8.836,12.372,6.781
1,12.522,0.0,5.832,13.796,8.405,7.104,11.207,5.117,1.83,3.587,2.667,4.508,4.596,2.791,11.214,4.215,4.106,4.594,1.255,8.53,4.987,4.221,13.026,3.392,5.857,12.446,6.455,6.15,11.215,3.658,6.318,3.058,7.681,5.771,6.112
2,9.873,5.832,0.0,10.537,5.071,3.517,7.687,1.498,4.027,3.129,3.39,1.329,3.695,4.05,7.689,2.131,1.979,1.259,4.581,3.3,3.724,1.708,10.267,2.444,0.456,9.491,2.878,3.156,7.689,3.527,4.024,3.605,1.977,2.5,3.675
3,1.72,13.796,10.537,0.0,5.642,7.219,2.85,9.797,12.78,13.189,11.497,11.181,9.237,13.784,2.848,12.34,10.636,11.234,13.008,7.665,14.216,10.826,1.298,11.749,10.111,1.415,7.959,8.008,2.848,13.659,7.56,13.436,9.229,13.018,7.833
4,4.809,8.405,5.071,5.642,0.0,1.595,2.86,4.168,7.207,7.551,5.94,5.563,3.822,8.146,2.865,6.725,4.995,5.624,7.49,3.072,8.646,5.185,5.221,6.108,4.622,4.47,2.327,2.376,2.866,8.022,2.103,7.794,4.271,7.568,2.294
5,6.396,7.104,3.517,7.219,1.595,0.0,4.401,2.579,5.757,5.97,4.527,3.97,2.691,6.599,4.405,5.131,3.449,4.029,6.095,2.377,7.052,3.614,6.815,4.56,3.062,6.065,0.741,0.96,4.405,6.44,1.304,6.234,3.065,6.002,1.224
6,2.542,11.207,7.687,2.85,2.86,4.401,0.0,6.972,10.064,10.366,8.792,8.347,6.611,10.994,0.011,9.502,7.842,8.396,10.334,4.904,11.367,8.014,2.777,8.955,7.261,1.956,5.142,5.235,0.011,10.834,4.893,10.633,6.437,10.171,5.128
7,8.938,5.117,1.498,9.797,4.168,2.579,6.972,0.0,3.483,3.395,2.463,1.402,2.2,4.076,6.976,2.562,1.03,1.475,3.94,3.418,4.521,1.073,9.371,2.064,1.161,8.635,1.841,1.917,6.976,3.863,2.702,3.687,2.703,3.661,2.346
8,11.659,1.83,4.027,12.78,7.207,5.757,10.064,3.483,0.0,1.965,1.286,2.698,3.609,1.54,10.069,2.419,2.453,2.777,0.585,6.888,3.558,2.491,12.142,1.585,4.088,11.492,5.05,4.846,10.07,2.195,5.223,1.569,5.92,4.057,4.95
9,12.279,3.587,3.129,13.189,7.551,5.97,10.366,3.395,1.965,0.0,2.553,2.049,4.587,1.006,10.37,1.0,2.61,2.029,2.491,6.397,1.645,2.371,12.726,1.569,3.399,12.006,5.23,5.224,10.37,0.473,5.861,0.579,5.094,2.194,5.526
